ticker,avg_yearly_returns,yearly_variance
BBOX,-0.2295581664880648,0.2630799432885537
BBSI,0.361538934153407,0.4828490984709685
BBT,0.08395876344909066,0.0225165857039886
BBX,0.3854923135666474,0.4689368559397975
BBY,0.33079685733560155,0.8916968814979805
BC,0.15949791098341418,0.07761807881174897
BCO,0.17595738254526697,0.16029783061001088
BCOR,0.22598363888099074,0.22850297901492134
BCPC,0.12069040356862894,0.07321634006318148
BCRX,0.5288059189439833,2.230656389526755
BDC,0.10678979230756849,0.18272803909940935
BDGE,0.0427432249797127,0.0370835742034783
BDN,0.07050555088261767,0.04366284712849248
BDSI,0.7569774212032756,2.8585860181495626
BELFB,0.044225823471808076,0.16133667639972252
BEN,-0.1142585239017194,0.08890995335474754
BFS,0.05300028064220093,0.039168764260552484
